video_id,n_frames,duration_s,AU01_r_mean,AU01_r_std,AU02_r_mean,AU02_r_std,AU04_r_mean,AU04_r_std,AU05_r_mean,AU05_r_std,AU06_r_mean,AU06_r_std,AU07_r_mean,AU07_r_std,AU09_r_mean,AU09_r_std,AU10_r_mean,AU10_r_std,AU12_r_mean,AU12_r_std,AU14_r_mean,AU14_r_std,AU15_r_mean,AU15_r_std,AU17_r_mean,AU17_r_std,AU20_r_mean,AU20_r_std,AU23_r_mean,AU23_r_std,AU25_r_mean,AU25_r_std,AU26_r_mean,AU26_r_std,AU45_r_mean,AU45_r_std
21550.1,54537,1819.7,0.342972,0.622599,0.177517,0.4705,1.6626,0.779839,0.06316,0.17323,0.239767,0.343095,0.261029,0.464221,0.091039,0.201191,1.031684,0.661212,0.328183,0.384422,0.606389,0.501455,0.21993,0.377393,0.556428,0.566907,0.127508,0.240334,0.151664,0.297661,0.457003,0.47685,0.429014,0.486105,0.193412,0.335298
21550.2,54512,1818.8,0.415842,0.749504,0.276801,0.684004,1.526477,0.712755,0.074535,0.208758,0.199553,0.300041,0.501259,0.530975,0.081757,0.181431,0.847548,0.497054,0.348253,0.385793,0.76539,0.497401,0.214322,0.41389,0.46073,0.467571,0.12882,0.24822,0.157932,0.324056,0.482559,0.499625,0.422627,0.496176,0.204028,0.341581
21550.3,55702,1858.6,0.352897,0.66433,0.225594,0.57536,1.449645,0.649979,0.081558,0.245084,0.272323,0.338046,0.573631,0.578419,0.102126,0.222247,0.775832,0.525501,0.357556,0.358268,0.531397,0.472831,0.191339,0.351049,0.492968,0.515483,0.131308,0.252133,0.159095,0.362584,0.504081,0.527388,0.464629,0.5562,0.195835,0.348695
21582.1,52451,1750.1,0.190673,0.33231,0.132294,0.302516,0.544217,0.40136,0.054926,0.146977,0.442099,0.377267,0.831422,0.512387,0.08094,0.167052,1.01283,0.628542,0.901997,0.482168,0.0498,0.229938,0.156675,0.238268,0.484463,0.431814,0.116784,0.214759,0.133425,0.282028,0.425019,0.41551,0.335143,0.358054,0.167326,0.287612
21582.2,50354,1680.1,0.194859,0.333811,0.129352,0.292037,0.562479,0.450987,0.054223,0.139887,0.423039,0.374033,0.816973,0.506028,0.085657,0.172465,1.03313,0.611321,0.911987,0.473395,0.030565,0.161723,0.158833,0.241645,0.483668,0.417242,0.121875,0.219611,0.120641,0.2391,0.418046,0.401248,0.338444,0.347697,0.178483,0.304073
21582.3,53555,1786.9,0.189085,0.323538,0.128473,0.294301,0.549996,0.43528,0.056605,0.148103,0.35017,0.333935,0.812055,0.497875,0.095948,0.1938,0.918518,0.611905,0.797188,0.458063,0.035391,0.183898,0.151083,0.229781,0.487753,0.419605,0.125034,0.22791,0.125979,0.247572,0.429171,0.418601,0.35164,0.36661,0.169533,0.287661
21582.4,52273,1744.1,0.283821,0.462735,0.13268,0.302243,0.48701,0.44341,0.056278,0.154825,0.325472,0.323813,0.632405,0.462924,0.095815,0.198538,1.010989,0.600513,0.875967,0.410941,0.04107,0.192241,0.162356,0.280275,0.52549,0.500407,0.121675,0.229942,0.160712,0.354861,0.46062,0.434896,0.329803,0.348789,0.206344,0.348047
21582.5,53032,1769.5,0.275203,0.442248,0.124233,0.275891,0.430603,0.407611,0.05378,0.140393,0.318722,0.310729,0.613609,0.443425,0.101466,0.211771,1.038122,0.569092,0.899725,0.408296,0.024362,0.138763,0.157071,0.278405,0.48394,0.429014,0.110874,0.21431,0.13626,0.275068,0.439133,0.414582,0.322432,0.346391,0.180337,0.302196
21582.6,52160,1740.4,0.206232,0.333147,0.115918,0.261327,0.561959,0.449999,0.053521,0.135142,0.259985,0.271692,0.533835,0.497859,0.101533,0.210721,0.695785,0.498902,0.832169,0.370104,0.048317,0.183234,0.179808,0.315126,0.483121,0.484994,0.119392,0.234807,0.131024,0.290529,0.422799,0.413084,0.306104,0.314452,0.19708,0.345735
21582.7,51575,1720.9,0.23196,0.369635,0.125969,0.293135,0.42941,0.390492,0.053104,0.142283,0.269198,0.297469,0.468223,0.444232,0.104326,0.222023,0.913649,0.518845,0.913188,0.398388,0.028879,0.159652,0.158511,0.253474,0.469168,0.427189,0.108218,0.199721,0.139656,0.287831,0.430756,0.416813,0.307306,0.32867,0.172866,0.288379
21609.1,53589,1788.1,0.146967,0.240325,0.122361,0.305373,0.764024,0.632227,0.075591,0.212698,0.203939,0.243898,0.29305,0.345302,0.065819,0.151873,0.186914,0.49808,0.151495,0.227596,0.100245,0.213907,0.175492,0.391011,0.395181,0.453537,0.091935,0.221317,0.081008,0.236916,0.345885,0.42779,0.410846,0.460289,0.232626,0.425541
21611.1,54576,1821.0,0.13867,0.216184,0.0857,0.195109,0.028662,0.119813,0.057604,0.154932,0.051162,0.124922,0.407109,0.446778,0.100776,0.238691,0.206576,0.304193,0.320106,0.278664,0.042468,0.122,0.112665,0.172873,0.361072,0.347807,0.098731,0.183415,0.093942,0.188667,0.496457,0.494127,0.427161,0.466642,0.166015,0.287388
21611.2,52718,1759.0,0.136604,0.204769,0.069563,0.150278,0.018282,0.096394,0.065651,0.172137,0.058474,0.13899,0.269171,0.393243,0.102154,0.237461,0.474202,0.433716,0.513377,0.318858,0.047927,0.134082,0.126489,0.209571,0.375207,0.370129,0.09983,0.183959,0.108023,0.210669,0.455798,0.42469,0.43508,0.458398,0.180453,0.321201
21626.2,43716,1748.6,0.252859,0.393865,0.103122,0.238388,0.003384,0.042922,0.060415,0.157272,0.297201,0.315174,0.008137,0.058102,0.077126,0.16202,0.012206,0.065675,0.900216,0.401778,0.221114,0.29047,0.115996,0.172243,0.371296,0.31603,0.085685,0.152525,0.08082,0.154778,0.343571,0.358939,0.289308,0.294795,0.237193,0.37075
21626.3,43456,1738.2,0.235784,0.373093,0.099695,0.224585,0.001648,0.027643,0.057035,0.148064,0.395907,0.351025,0.02294,0.101558,0.084713,0.175055,0.014532,0.070334,0.73681,0.381091,0.19433,0.270561,0.12667,0.190974,0.382545,0.328214,0.094289,0.169034,0.087285,0.175393,0.386106,0.392822,0.314409,0.331889,0.213745,0.343613
21626.4,45553,1822.1,0.250361,0.388445,0.113062,0.261091,0.002386,0.03808,0.072731,0.198433,0.249535,0.271704,0.009876,0.071436,0.079552,0.167576,0.011171,0.065734,0.676618,0.344138,0.160418,0.25721,0.152576,0.239865,0.438293,0.374394,0.096212,0.173549,0.077979,0.150639,0.372258,0.383337,0.306255,0.308861,0.194837,0.314336
21626.5,42984,1719.3,0.217681,0.331791,0.093374,0.213391,0.000981,0.021541,0.068861,0.187955,0.282737,0.306617,0.007476,0.05785,0.083845,0.180025,0.027795,0.105538,0.790834,0.405224,0.19795,0.322011,0.149478,0.226261,0.441019,0.382764,0.085667,0.152596,0.089224,0.170004,0.36315,0.37085,0.290014,0.295594,0.210831,0.341803
21648.1,53709,1792.1,0.258206,0.422302,0.093336,0.223275,0.489097,0.441134,0.068734,0.183962,0.012185,0.058119,0.094314,0.205146,0.065862,0.142433,0.107365,0.177136,0.009873,0.059321,0.023743,0.104639,0.229724,0.388667,0.363563,0.358736,0.104146,0.198672,0.135943,0.295566,0.492989,0.512841,0.449241,0.504292,0.134746,0.236216
21648.2,53199,1775.0,0.281374,0.455413,0.108826,0.25817,0.627565,0.515615,0.075084,0.198126,0.020435,0.094125,0.068414,0.178418,0.069972,0.145226,0.119839,0.199397,0.018273,0.097785,0.033034,0.140982,0.188564,0.331975,0.373288,0.339931,0.100323,0.189752,0.135994,0.264359,0.453758,0.448587,0.425953,0.454221,0.141932,0.24502
2165.1,51618,1722.3,0.227543,0.407739,0.120072,0.324252,0.277519,0.371192,0.064971,0.176049,1.107467,0.484562,0.523194,0.575669,0.068467,0.145491,0.587055,0.506349,0.878281,0.530652,0.932602,0.581488,0.200628,0.355221,0.461023,0.453514,0.113201,0.215689,0.131034,0.268415,0.588583,0.625485,0.361039,0.383263,0.23913,0.420142
2165.2,51677,1724.3,0.228785,0.408544,0.141677,0.362844,0.262148,0.416195,0.061647,0.16228,1.103349,0.406198,0.703274,0.57449,0.061404,0.129254,0.618761,0.456153,1.021584,0.518034,0.875808,0.542598,0.187965,0.325504,0.477743,0.448996,0.100034,0.192397,0.112292,0.237101,0.597667,0.622138,0.319071,0.345018,0.225266,0.416996
21652.1,53004,1768.5,0.210133,0.365449,0.131507,0.347688,0.007376,0.044889,0.065113,0.173081,0.001039,0.014904,0.00037,0.010583,0.049943,0.103699,0.007464,0.062168,0.027172,0.09415,0.032804,0.135548,0.143797,0.221963,0.380739,0.334229,0.101644,0.191493,0.091129,0.172986,0.460263,0.444574,0.377001,0.410624,0.18353,0.317
21652.3,54600,1821.8,0.303779,0.48252,0.158555,0.391312,0.01926,0.082773,0.072145,0.188266,0.000783,0.012989,0.000321,0.013625,0.066131,0.137873,0.018787,0.099726,0.024707,0.081098,0.027548,0.088304,0.151323,0.231371,0.350783,0.299917,0.092199,0.175248,0.105619,0.197503,0.450706,0.442466,0.306294,0.33383,0.19935,0.326043
2170.1,50492,1684.7,0.142917,0.241881,0.09642,0.24428,0.600783,0.432891,0.065488,0.226453,0.358242,0.218587,0.002556,0.02386,0.070503,0.147773,0.712388,0.439972,0.054141,0.11831,0.177961,0.309934,0.151203,0.250517,0.3725,0.367956,0.108796,0.201082,0.086802,0.169255,0.380844,0.353108,0.504422,0.526755,0.142817,0.246831
2170.2,51348,1713.3,0.153363,0.259007,0.088596,0.197545,0.917843,0.587776,0.072184,0.211006,0.349939,0.237988,0.005497,0.041597,0.077109,0.15916,0.723666,0.514908,0.08573,0.146293,0.186767,0.312376,0.170588,0.261533,0.455411,0.412912,0.125643,0.221412,0.095612,0.186405,0.398489,0.365738,0.464842,0.461128,0.148211,0.259335
2170.3,53441,1783.1,0.209036,0.368313,0.091849,0.212896,0.90064,0.643488,0.083048,0.255718,0.353459,0.233408,0.011518,0.06785,0.071336,0.148049,0.829819,0.539639,0.09354,0.160155,0.166797,0.284268,0.16419,0.255846,0.479907,0.438428,0.13208,0.235474,0.094307,0.180029,0.401217,0.363736,0.466415,0.462171,0.168625,0.297554
2170.4,51036,1702.9,0.236996,0.402904,0.104316,0.262231,0.972581,0.655717,0.095263,0.293423,0.389535,0.237322,0.005935,0.052063,0.061662,0.124154,0.955061,0.572598,0.102819,0.205976,0.305045,0.378514,0.160826,0.280174,0.474524,0.457114,0.11226,0.19816,0.088901,0.177118,0.41055,0.385992,0.439317,0.44745,0.16299,0.282586
2170.5,53872,1797.5,0.290115,0.487336,0.137732,0.357492,0.885335,0.707724,0.124045,0.356878,0.391801,0.249771,0.012825,0.076215,0.061744,0.124898,1.056933,0.631164,0.193087,0.27371,0.417325,0.474487,0.220789,0.39761,0.534922,0.548429,0.119553,0.212658,0.112953,0.23312,0.406304,0.384278,0.449768,0.46166,0.181227,0.311916
21731.1,49763,1990.5,0.264268,0.491745,0.223655,0.597519,1.174976,0.505473,0.093672,0.242247,0.331506,0.282194,1.665862,0.736358,0.102204,0.205143,1.806552,1.04616,0.21592,0.226031,0.041445,0.143869,0.600609,0.972347,0.903853,0.7759,0.194337,0.379714,0.142986,0.284218,0.979525,1.040948,0.57055,0.620769,0.190237,0.352777
