task_number,video_id,smile_start,smile_end,manifest_AU12_mean_r,manifest_AU12_peak_r,annotator,label_fine,label_binary,n_annotators,consensus_label_binary,consensus_label_fine,consensus_binary,consensus_agreement,AU01_r_mean,AU01_r_peak,AU01_r_std,AU01_r_mass,AU02_r_mean,AU02_r_peak,AU02_r_std,AU02_r_mass,AU04_r_mean,AU04_r_peak,AU04_r_std,AU04_r_mass,AU05_r_mean,AU05_r_peak,AU05_r_std,AU05_r_mass,AU06_r_mean,AU06_r_peak,AU06_r_std,AU06_r_mass,AU07_r_mean,AU07_r_peak,AU07_r_std,AU07_r_mass,AU09_r_mean,AU09_r_peak,AU09_r_std,AU09_r_mass,AU10_r_mean,AU10_r_peak,AU10_r_std,AU10_r_mass,AU12_r_mean,AU12_r_peak,AU12_r_std,AU12_r_mass,AU14_r_mean,AU14_r_peak,AU14_r_std,AU14_r_mass,AU15_r_mean,AU15_r_peak,AU15_r_std,AU15_r_mass,AU17_r_mean,AU17_r_peak,AU17_r_std,AU17_r_mass,AU20_r_mean,AU20_r_peak,AU20_r_std,AU20_r_mass,AU23_r_mean,AU23_r_peak,AU23_r_std,AU23_r_mass,AU25_r_mean,AU25_r_peak,AU25_r_std,AU25_r_mass,AU26_r_mean,AU26_r_peak,AU26_r_std,AU26_r_mass,AU45_r_mean,AU45_r_peak,AU45_r_std,AU45_r_mass,AU01_c_mean,AU02_c_mean,AU04_c_mean,AU05_c_mean,AU06_c_mean,AU07_c_mean,AU09_c_mean,AU10_c_mean,AU12_c_mean,AU14_c_mean,AU15_c_mean,AU17_c_mean,AU20_c_mean,AU23_c_mean,AU25_c_mean,AU26_c_mean,AU28_c_mean,AU45_c_mean
1,449.4,87.667,89.3,1.5347,1.96,Christina,polite,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
1,449.4,87.667,89.3,1.5347,1.96,Emily,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
1,449.4,87.667,89.3,1.5347,1.96,Gabor,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
1,449.4,87.667,89.3,1.5347,1.96,Julia,masking,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
1,449.4,87.667,89.3,1.5347,1.96,Leonard,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
1,449.4,87.667,89.3,1.5347,1.96,Marcus,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13877551020408163,0.67,0.17334209014713198,0.22666666666666666,0.0,0.0,0.0,0.0,2.518775510204082,2.86,0.2808197377581135,4.114,2.483265306122449,3.01,0.3253907400254255,4.056,0.5497959183673469,1.46,0.3251215772343329,0.8979999999999999,1.7579591836734696,2.5,0.49803278144641444,2.8713333333333337,1.5226530612244897,1.96,0.3161682289877355,2.487,1.3914285714285715,2.48,0.5341405455954262,2.272666666666667,0.6148979591836734,2.42,0.5932584612397617,1.004333333333333,0.2997959183673469,1.25,0.3152808258791101,0.48966666666666664,0.011020408163265306,0.18,0.04315349433479044,0.018000000000000002,0.20836734693877554,0.82,0.21754049061318806,0.3403333333333334,0.17510204081632652,0.82,0.22655469627442804,0.286,0.09714285714285716,1.11,0.23744387091844396,0.15866666666666668,0.07857142857142857,0.49,0.1345893224378729,0.12833333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.8979591836734694,0.5306122448979592,0.14285714285714285,0.0,0.0,0.12244897959183673,0.6326530612244898,0.46938775510204084,0.0,0.0,0.8367346938775511
2,449.4,98.7,100.167,1.7161,2.34,Christina,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16136363636363635,0.61,0.18261473241737033,0.23666666666666666,0.0,0.0,0.0,0.0,2.4984090909090906,3.0,0.37940110210829875,3.664333333333333,1.771818181818182,2.2,0.24587758158068612,2.598666666666667,0.6363636363636365,0.93,0.14050381601241152,0.9333333333333335,2.6020454545454546,2.98,0.39381340496977035,3.816333333333333,1.7136363636363638,2.34,0.4519910040792793,2.5133333333333336,1.4220454545454546,2.31,0.4770819423873284,2.0856666666666666,0.3836363636363636,1.3,0.4016109091073718,0.5626666666666666,0.35954545454545456,1.52,0.524893731865857,0.5273333333333333,0.02659090909090909,0.19,0.06052584653826457,0.039,0.5120454545454545,1.43,0.3832847241308557,0.7509999999999999,0.9236363636363635,2.51,0.5988249513121924,1.3546666666666665,0.1868181818181818,1.24,0.31558583854096384,0.27399999999999997,0.004772727272727273,0.07,0.017644035351105893,0.007000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,0.8409090909090909,0.13636363636363635,0.0,0.13636363636363635,0.20454545454545456,0.5227272727272727,0.36363636363636365,0.0,0.0,0.0
2,449.4,98.7,100.167,1.7161,2.34,Emily,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16136363636363635,0.61,0.18261473241737033,0.23666666666666666,0.0,0.0,0.0,0.0,2.4984090909090906,3.0,0.37940110210829875,3.664333333333333,1.771818181818182,2.2,0.24587758158068612,2.598666666666667,0.6363636363636365,0.93,0.14050381601241152,0.9333333333333335,2.6020454545454546,2.98,0.39381340496977035,3.816333333333333,1.7136363636363638,2.34,0.4519910040792793,2.5133333333333336,1.4220454545454546,2.31,0.4770819423873284,2.0856666666666666,0.3836363636363636,1.3,0.4016109091073718,0.5626666666666666,0.35954545454545456,1.52,0.524893731865857,0.5273333333333333,0.02659090909090909,0.19,0.06052584653826457,0.039,0.5120454545454545,1.43,0.3832847241308557,0.7509999999999999,0.9236363636363635,2.51,0.5988249513121924,1.3546666666666665,0.1868181818181818,1.24,0.31558583854096384,0.27399999999999997,0.004772727272727273,0.07,0.017644035351105893,0.007000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,0.8409090909090909,0.13636363636363635,0.0,0.13636363636363635,0.20454545454545456,0.5227272727272727,0.36363636363636365,0.0,0.0,0.0
2,449.4,98.7,100.167,1.7161,2.34,Gabor,genuine,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16136363636363635,0.61,0.18261473241737033,0.23666666666666666,0.0,0.0,0.0,0.0,2.4984090909090906,3.0,0.37940110210829875,3.664333333333333,1.771818181818182,2.2,0.24587758158068612,2.598666666666667,0.6363636363636365,0.93,0.14050381601241152,0.9333333333333335,2.6020454545454546,2.98,0.39381340496977035,3.816333333333333,1.7136363636363638,2.34,0.4519910040792793,2.5133333333333336,1.4220454545454546,2.31,0.4770819423873284,2.0856666666666666,0.3836363636363636,1.3,0.4016109091073718,0.5626666666666666,0.35954545454545456,1.52,0.524893731865857,0.5273333333333333,0.02659090909090909,0.19,0.06052584653826457,0.039,0.5120454545454545,1.43,0.3832847241308557,0.7509999999999999,0.9236363636363635,2.51,0.5988249513121924,1.3546666666666665,0.1868181818181818,1.24,0.31558583854096384,0.27399999999999997,0.004772727272727273,0.07,0.017644035351105893,0.007000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,0.8409090909090909,0.13636363636363635,0.0,0.13636363636363635,0.20454545454545456,0.5227272727272727,0.36363636363636365,0.0,0.0,0.0
2,449.4,98.7,100.167,1.7161,2.34,Julia,masking,1,6,smile,genuine,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16136363636363635,0.61,0.18261473241737033,0.23666666666666666,0.0,0.0,0.0,0.0,2.4984090909090906,3.0,0.37940110210829875,3.664333333333333,1.771818181818182,2.2,0.24587758158068612,2.598666666666667,0.6363636363636365,0.93,0.14050381601241152,0.9333333333333335,2.6020454545454546,2.98,0.39381340496977035,3.816333333333333,1.7136363636363638,2.34,0.4519910040792793,2.5133333333333336,1.4220454545454546,2.31,0.4770819423873284,2.0856666666666666,0.3836363636363636,1.3,0.4016109091073718,0.5626666666666666,0.35954545454545456,1.52,0.524893731865857,0.5273333333333333,0.02659090909090909,0.19,0.06052584653826457,0.039,0.5120454545454545,1.43,0.3832847241308557,0.7509999999999999,0.9236363636363635,2.51,0.5988249513121924,1.3546666666666665,0.1868181818181818,1.24,0.31558583854096384,0.27399999999999997,0.004772727272727273,0.07,0.017644035351105893,0.007000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,0.8409090909090909,0.13636363636363635,0.0,0.13636363636363635,0.20454545454545456,0.5227272727272727,0.36363636363636365,0.0,0.0,0.0
