intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.8,2.0,2.0,7080,61470.761,1501,1.7713284963722793,0.0,0.0,2.0,40,15.379224668501376,0.0,978,7.2392638036809815,1.0,62.85353885480572
1.8,3.0,0.0,9794,65700.32,1839,2.450337753314986,0.0,0.0,2.0,50,16.437408056042035,0.0,978,10.014314928425359,2.0,67.17824130879346
1.8,3.0,0.3,9794,65700.32,1839,2.450337753314986,0.0,0.0,2.0,50,16.437408056042035,0.0,978,10.014314928425359,2.0,67.17824130879346
1.8,3.0,0.5,9794,65700.32,1839,2.450337753314986,0.0,0.0,2.0,50,16.437408056042035,0.0,978,10.014314928425359,2.0,67.17824130879346
1.8,3.0,1.0,9059,65137.62299999999,1745,2.2664498373780337,0.0,0.0,2.0,43,16.29662822116587,0.0,978,9.26278118609407,2.0,66.60288650306748
1.8,3.0,1.5,7946,63768.899999999994,1632,1.9879909932449338,0.0,0.0,2.0,41,15.954190642982235,0.0,978,8.124744376278118,2.0,65.20337423312883
1.8,3.0,2.0,6963,62069.69499999999,1502,1.742056542406805,0.0,0.0,1.0,38,15.529070552914684,0.0,978,7.119631901840491,1.0,63.46594580777095
2.0,0.0,0.0,4245,25116.683999999994,1080,1.0620465349011758,0.0,0.0,1.0,45,6.2838839129347,0.0,978,4.340490797546012,0.0,25.68168098159509
2.0,0.0,0.3,4245,25116.683999999994,1080,1.0620465349011758,0.0,0.0,1.0,45,6.2838839129347,0.0,978,4.340490797546012,0.0,25.68168098159509
2.0,0.0,0.5,4245,25116.683999999994,1080,1.0620465349011758,0.0,0.0,1.0,45,6.2838839129347,0.0,978,4.340490797546012,0.0,25.68168098159509
2.0,0.0,1.0,4040,24954.950999999994,1045,1.0107580685514135,0.0,0.0,1.0,37,6.243420315236426,0.0,978,4.130879345603272,0.0,25.516309815950915
2.0,0.0,1.5,3545,24342.607999999993,979,0.8869151863897924,0.0,0.0,0.0,35,6.09021966474856,0.0,978,3.6247443762781186,0.0,24.89019222903885
2.0,0.0,2.0,3104,23578.373999999996,913,0.7765824368276207,0.0,0.0,0.0,32,5.899017763322491,0.0,978,3.173824130879346,0.0,24.108766871165642
2.0,0.25,0.0,4189,25125.747999999996,1080,1.048036027020265,0.0,0.0,1.0,44,6.286151613710282,0.0,978,4.283231083844581,0.0,25.690948875255618
2.0,0.25,0.3,4189,25125.747999999996,1080,1.048036027020265,0.0,0.0,1.0,44,6.286151613710282,0.0,978,4.283231083844581,0.0,25.690948875255618
2.0,0.25,0.5,4189,25125.747999999996,1080,1.048036027020265,0.0,0.0,1.0,44,6.286151613710282,0.0,978,4.283231083844581,0.0,25.690948875255618
2.0,0.25,1.0,3990,24969.081999999995,1045,0.9982486865148862,0.0,0.0,1.0,37,6.246955716787589,0.0,978,4.079754601226994,0.0,25.530758691206536
2.0,0.25,1.5,3501,24364.537999999993,980,0.8759069301976482,0.0,0.0,0.0,34,6.0957062797097805,0.0,978,3.579754601226994,0.0,24.912615541922282
2.0,0.25,2.0,3071,23619.603999999992,914,0.7683262446835126,0.0,0.0,0.0,31,5.90933299974981,0.0,978,3.140081799591002,0.0,24.150924335378313
2.0,0.5,0.0,4109,25154.681999999993,1080,1.0280210157618213,0.0,0.0,1.0,44,6.293390542907178,0.0,978,4.201431492842536,0.0,25.72053374233128
